Customer ID,Customer Name,Segment
C0492,Kiran Khan,Home Office
C0980,Sneha Reddy,Consumer
C0772,Rakesh Khan,Home Office
C0158,Ananya Patel,Home Office
C0242,Ashish Bansal,Consumer
C0026,Aditi Dixit,Corporate
C0468,Kavya Jain,Corporate
C0351,Deepika Kapoor,Corporate
C0131,Amit Kapoor,Consumer
C0799,Ravi Rao,Consumer
C0890,Sameer Joshi,Home Office
C0441,Karan Agarwal,Home Office
C1063,Tanya Chauhan,Corporate
C0236,Arnav Mishra,Home Office
C0863,Sakshi Chauhan,Consumer
C0561,Naina Agarwal,Consumer
C1116,Vikas Mishra,Corporate
C0717,Priya Nair,Home Office
C0555,Mohit Mehta,Corporate
C0550,Mohit Joshi,Corporate
C0730,Rahul Joshi,Consumer
C0475,Kavya Mehta,Consumer
C0901,Sanjay Agarwal,Consumer
C1113,Vikas Kumar,Home Office
C0790,Ravi Joshi,Home Office
C0278,Ayush Patel,Consumer
C0299,Bhavna Rao,Consumer
C1076,Tanya Mishra,Corporate
C0685,Prakash Das,Corporate
C1028,Sumit Jain,Corporate
C0227,Arnav Gupta,Consumer
C0918,Sanjay Patel,Home Office
C0394,Divya Malhotra,Consumer
C1081,Varun Agarwal,Corporate
C1000,Sonal Reddy,Corporate
C0147,Ananya Gupta,Home Office
C0596,Neha Mishra,Home Office
C0995,Sonal Mehta,Home Office
C0138,Amit Patel,Consumer
C0985,Sonal Das,Home Office
C0321,Deepak Agarwal,Corporate
C0179,Anil Rao,Consumer
C0371,Dev Kapoor,Corporate
C0507,Manish Gupta,Corporate
C1013,Sourabh Kumar,Home Office
C0566,Naina Dixit,Consumer
C0099,Akshay Rao,Home Office
C0487,Kiran Gupta,Consumer
C0988,Sonal Jain,Consumer
C0257,Ashish Nair,Consumer
C0045,Aditya Das,Corporate
C1184,Yash Choudhary,Consumer
C0514,Manish Malhotra,Home Office
C0380,Dev Reddy,Home Office
C0070,Akash Joshi,Consumer
C0301,Chetan Agarwal,Corporate
C0599,Neha Rao,Home Office
C0793,Ravi Kumar,Consumer
C0104,Aman Choudhary,Corporate
C1128,Vikram Jain,Consumer
C0496,Kiran Mishra,Home Office
C1084,Varun Choudhary,Home Office
C0601,Nikhil Agarwal,Corporate
C0166,Anil Dixit,Consumer
C0814,Riya Malhotra,Home Office
C0058,Aditya Patel,Home Office
C0686,Prakash Dixit,Home Office
C0305,Chetan Das,Consumer
C1049,Sunita Jha,Home Office
C0280,Ayush Reddy,Home Office
C0237,Arnav Nair,Corporate
C0052,Aditya Khan,Corporate
C0804,Riya Choudhary,Corporate
C0401,Gaurav Agarwal,Home Office
C0133,Amit Kumar,Home Office
C0145,Ananya Das,Home Office
C1194,Yash Malhotra,Corporate
C0572,Naina Khan,Consumer
C0021,Aditi Agarwal,Home Office
C0346,Deepika Dixit,Home Office
C0059,Aditya Rao,Home Office
C0350,Deepika Joshi,Corporate
C1133,Vikram Kumar,Home Office
C0177,Anil Nair,Corporate
C0546,Mohit Dixit,Corporate
C0173,Anil Kumar,Consumer
C0662,Pooja Bansal,Consumer
C0527,Meera Gupta,Home Office
C0268,Ayush Jain,Corporate
C0168,Anil Jain,Home Office
C0458,Karan Patel,Corporate
C0055,Aditya Mehta,Home Office
C0797,Ravi Nair,Consumer
C1040,Sumit Reddy,Consumer
C0955,Shreya Mehta,Corporate
C0854,Sachin Malhotra,Home Office
C0187,Anjali Gupta,Consumer
C0579,Naina Rao,Consumer
C0968,Sneha Jain,Home Office
C0449,Karan Jha,Corporate
C0983,Sonal Chauhan,Home Office
C1187,Yash Gupta,Home Office
C0349,Deepika Jha,Consumer
C0336,Deepak Mishra,Corporate
C1089,Varun Jha,Corporate
C0076,Akash Mishra,Corporate
C0140,Amit Reddy,Consumer
C1026,Sumit Dixit,Consumer
C0785,Ravi Das,Consumer
C0384,Divya Choudhary,Consumer
C1109,Vikas Jha,Corporate
C0033,Aditi Kumar,Home Office
C0609,Nikhil Jha,Home Office
C0699,Prakash Rao,Consumer
C0207,Arjun Gupta,Home Office
C1097,Varun Nair,Consumer
C0559,Mohit Rao,Consumer
C1011,Sourabh Kapoor,Home Office
C0969,Sneha Jha,Corporate
C0857,Sachin Nair,Corporate
C0036,Aditi Mishra,Consumer
C0121,Amit Agarwal,Consumer
C0457,Karan Nair,Corporate
C1022,Sumit Bansal,Home Office
C1114,Vikas Malhotra,Corporate
C0746,Raj Dixit,Home Office
C0847,Sachin Gupta,Home Office
